2024-12-03 15:13:53.378 [Information] AguilaContentManagement was signaled to launch in "create-content" mode.
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-PlusOne-Pd-1C10022E' contains invalid characters and has been automatically converted to 'DH28_PlusOne_Pd_1C10022E'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Satsuma-Y-1C100248' contains invalid characters and has been automatically converted to 'DH28_Satsuma_Y_1C100248'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Scylla-BMG-1C100260' contains invalid characters and has been automatically converted to 'DH28_Scylla_BMG_1C100260'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Scylla-SBFX-1C10025D' contains invalid characters and has been automatically converted to 'DH28_Scylla_SBFX_1C10025D'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Scylla-BFY-1C10025E' contains invalid characters and has been automatically converted to 'DH28_Scylla_BFY_1C10025E'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Scylla-SBFY-1C10025F' contains invalid characters and has been automatically converted to 'DH28_Scylla_SBFY_1C10025F'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Skipper-Y-1C100293' contains invalid characters and has been automatically converted to 'DH28_Skipper_Y_1C100293'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Twiddle-Y-1C1002A2' contains invalid characters and has been automatically converted to 'DH28_Twiddle_Y_1C1002A2'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Yakko-PdY-1C1002B4' contains invalid characters and has been automatically converted to 'DH28_Yakko_PdY_1C1002B4'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Yakko-MsY-1C1002B3' contains invalid characters and has been automatically converted to 'DH28_Yakko_MsY_1C1002B3'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Aes-FY-1C100003' contains invalid characters and has been automatically converted to 'DH28_Aes_FY_1C100003'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Blender-A1J-1C10003D' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10003D'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Blender-X1J-1C10003E' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C10003E'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Blender-A1J-1C10003F' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10003F'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Blender-A1J-1C100040' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100040'
2024-12-03 15:14:10.838 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100041' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100041'
